ORB-AKAZE, 12.337, 13.7275, 13.8685, 14.5388, 15.2942, 14.0817, 15.0862, 11.9219, 11.8219, 11.3652, 11.44, 11.3416, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
ORB-SIFT, 12.337, 13.6093, 13.9912, 14.5388, 15.4466, 14.0817, 15.0862, 12.0166, 11.9165, 11.3652, 11.44, 11.3416, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
AKAZE-BRIEF, 12.337, 13.8469, 13.8685, 14.5388, 15.2942, 14.0817, 15.0862, 12.1128, 12.0111, 11.3652, 11.44, 11.4295, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
AKAZE-FREAK, 12.5314, 13.7275, 13.8685, 14.2745, 15.4466, 14.0817, 15.0862, 11.9219, 12.0111, 11.4519, 11.5294, 11.5188, 9.59997, 9.19363, 8.19541, 8.92532, 10.1188, 8.01861
AKAZE-ORB, 12.337, 13.7275, 13.8685, 14.5388, 15.4466, 13.9549, 15.0862, 11.9219, 12.0111, 11.3652, 11.5294, 11.4295, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
AKAZE-AKAZE, 12.5314, 13.6093, 13.9912, 14.5388, 15.4466, 13.9549, 15.0862, 11.9219, 11.7302, 11.54, 11.5294, 11.4295, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
AKAZE-SIFT, 12.4335, 13.7275, 13.8685, 14.5388, 15.2942, 14.0817, 15.0862, 12.0166, 11.8234, 11.3652, 11.44, 11.5188, 9.53658, 9.19363, 8.19541, 8.92532, 10.1188, 8.01861
SIFT-BRIEF, 12.5314, 13.4931, 13.9912, 14.5388, 15.2942, 14.0817, 15.0862, 12.1128, 11.8219, 11.54, 11.5294, 11.4295, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
SIFT-FREAK, 12.5314, 13.9684, 13.9921, 14.5388, 15.4466, 13.9549, 15.0862, 11.9219, 11.9165, 11.3652, 11.5294, 11.4295, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
SIFT-ORB, 12.337, 13.9684, 13.8685, 14.5388, 15.2942, 14.0817, 15.0862, 11.9219, 11.8219, 11.3652, 11.5294, 11.4295, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
SIFT-AKAZE, 12.337, 13.8461, 13.8685, 14.5388, 15.4466, 13.9549, 15.0862, 12.0166, 11.8234, 11.3652, 11.5294, 11.4295, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
SIFT-SIFT, 12.5314, 13.6085, 14.1161, 14.5388, 15.2942, 14.0817, 15.0862, 11.9219, 11.9157, 11.4519, 11.44, 11.5188, 9.59997, 9.13544, 8.19541, 8.92532, 10.1188, 8.01861
