ORB-AKAZE, 8.45911, -inf, 6.32147, 2337.49, 37.7958, 21.0101, -inf, 5.33891, 4.40256, -inf, 7.52121, -inf, 5.40062, 8.04534, 7.6427, 8.17305, 8.6174, 4.15541
ORB-SIFT, 10.5394, 9.79369, 7.65108, 12.605, 116.692, 23.5762, 40.3549, 9.52006, 21.5135, 10.6267, 11.1446, 20.3187, 7.8653, 12.6782, 10.9494, 13.916, 8.6174, 24.1855
AKAZE-BRIEF, 14.2417, 14.5297, 12.8464, 13.7162, 14.3004, 14.156, 15.024, 13.9035, 14.259, 11.4557, 11.9355, 11.7194, 9.81401, 9.39298, 8.96839, 9.76887, 9.6077, 8.26263
AKAZE-FREAK, 12.78, 13.7432, 12.978, 13.5229, 15.5579, 14.2745, 15.3283, 13.6794, 13.8929, 11.5704, 11.6251, 11.1194, 10.4699, 9.42292, 8.33241, 9.67411, 9.72445, 8.24498
AKAZE-ORB, 12.4997, 14.3618, 12.232, 14.1141, 16.4623, 14.173, 14.8424, 13.5843, 13.6274, 11.4097, 11.5994, 11.2282, 9.91234, 9.35551, 9.48015, 9.83985, 9.06542, 8.34193
AKAZE-AKAZE, 12.6116, 13.7432, 12.0977, 13.952, 15.7049, 13.96, 14.9178, 13.6202, 14.3482, 11.3414, 11.8076, 11.142, 10.4774, 9.65258, 8.91322, 9.54657, 9.55746, 8.25338
AKAZE-SIFT, 12.6468, 14.0241, 12.6546, 13.952, 15.9409, 14.3695, 14.9487, 13.4128, 14.4587, 11.3987, 11.6123, 11.2148, 11.0094, 9.43485, 9.12879, 10.2644, 9.19227, 8.22747
SIFT-BRIEF, 12.5674, 12.1356, 13.7862, 20.5833, 12.0242, 12.4422, 13.3351, 15.3319, 12.6858, 10.872, 12.1698, 10.0929, 9.46157, 8.94995, 8.7645, 8.8499, 9.18097, 9.19547
SIFT-FREAK, 11.6951, 13.1685, 11.3401, 18.1978, 15.1171, 11.6436, 13.5223, 12.3603, 12.7588, 10.857, 11.1798, 9.91399, 9.64745, 8.80698, 8.39124, 8.009, 8.80483, 8.76245
SIFT-ORB, 12.0152, 12.5537, 11.0523, 14.9559, 14.0705, 12.2098, 12.2807, 14.014, 11.5331, 10.7369, 10.6006, 10.2254, 8.75185, 9.15922, 8.65526, 8.8821, 8.40699, 8.00571
SIFT-AKAZE, 11.9961, 12.2966, 11.2994, 18.5445, 12.5728, 11.4193, 11.9336, 14.0068, 13.8572, 10.71, 11.3871, 10.8893, 9.37794, 8.80698, 8.54792, 8.90009, 8.54456, 8.19376
SIFT-SIFT, 11.7937, 11.8909, 11.5789, 15.7328, 13.1117, 11.5752, 12.4448, 14.1574, 12.74, 9.43397, 10.4745, 10.3068, 9.52868, 9.13832, 8.65632, 8.42536, 8.50353, 8.05987
